example_id                          | status | run_time        |
./spec/piece_move_spec.rb[1:7:2:1]  | passed | 0.0006 seconds  |
./spec/piece_move_spec.rb[1:7:3:1]  | passed | 0.01374 seconds |
./spec/piece_move_spec.rb[1:8:1:1]  | passed | 0.03397 seconds |
./spec/piece_move_spec.rb[1:8:2:1]  | passed | 0.02503 seconds |
./spec/piece_move_spec.rb[1:8:3:1]  | passed | 0.01786 seconds |
./spec/piece_move_spec.rb[1:8:4:1]  | passed | 0.03006 seconds |
./spec/piece_move_spec.rb[1:9:1:1]  | passed | 0.02537 seconds |
./spec/piece_move_spec.rb[1:10:1:1] | passed | 0.01302 seconds |
./spec/piece_move_spec.rb[1:10:2:1] | passed | 0.01119 seconds |
./spec/piece_move_spec.rb[1:10:3:1] | passed | 0.01315 seconds |
./spec/piece_move_spec.rb[1:10:4:1] | passed | 0.01733 seconds |
./spec/piece_move_spec.rb[1:11:1:1] | passed | 0.0202 seconds  |
./spec/piece_move_spec.rb[1:11:2:1] | passed | 0.01305 seconds |
./spec/piece_move_spec.rb[1:11:3:1] | passed | 0.01039 seconds |
./spec/piece_move_spec.rb[1:11:4:1] | passed | 0.01197 seconds |
./spec/piece_move_spec.rb[1:11:5:1] | passed | 0.02473 seconds |
./spec/piece_move_spec.rb[1:11:6:1] | passed | 0.01507 seconds |
./spec/piece_move_spec.rb[1:11:7:1] | passed | 0.01564 seconds |
./spec/piece_move_spec.rb[1:11:8:1] | passed | 0.01516 seconds |
./spec/piece_move_spec.rb[1:12:1:1] | passed | 0.01257 seconds |
./spec/piece_move_spec.rb[1:13:1:1] | passed | 0.01514 seconds |
./spec/piece_move_spec.rb[1:13:2:1] | passed | 0.00919 seconds |
./spec/piece_move_spec.rb[1:14:1:1] | passed | 0.0309 seconds  |
./spec/piece_move_spec.rb[1:14:2:1] | passed | 0.02571 seconds |
./spec/piece_move_spec.rb[1:14:3:1] | passed | 0.02836 seconds |
./spec/piece_move_spec.rb[1:15:1:1] | passed | 0.11795 seconds |
./spec/piece_move_spec.rb[1:15:2:1] | passed | 0.12823 seconds |
./spec/piece_move_spec.rb[1:15:3:1] | passed | 0.17223 seconds |
./spec/piece_move_spec.rb[1:16:1:1] | passed | 0.01863 seconds |
./spec/piece_move_spec.rb[1:16:2:1] | passed | 0.01988 seconds |
./spec/piece_move_spec.rb[1:17:1:1] | passed | 0.01735 seconds |
./spec/piece_move_spec.rb[1:17:2:1] | passed | 0.01411 seconds |
./spec/piece_move_spec.rb[1:18:1:1] | passed | 0.01687 seconds |
./spec/piece_move_spec.rb[1:19:1:1] | passed | 0.01691 seconds |
./spec/piece_move_spec.rb[1:20:1:1] | passed | 0.01693 seconds |
./spec/piece_move_spec.rb[1:20:2:1] | passed | 0.01914 seconds |
./spec/queen_spec.rb[1:1:1:1]       | passed | 0.00028 seconds |
./spec/queen_spec.rb[1:1:2:1]       | passed | 0.00027 seconds |
./spec/rook_spec.rb[1:1:1:1]        | passed | 0.00952 seconds |
./spec/rook_spec.rb[1:1:2:1]        | passed | 0.00025 seconds |
